movie,image,movie_type,annot_group,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,sum,exp_sum,intensity1,intensity2,intensity3,intensity4,intensity5,intensity_mean,intensity_sd
AllOrNothingAM,all_8_52306_49.jpg,A,4,0.13,0.0,0.0,0.43,0.0,0.0,0.0,1.17,0.02,0.0,0.37,0.0,0.09,0.0,0.0,0.74,0.0,2.95,0.0088165649021486,2,5,3,6,4,4.0,1.4142135623730951
AllOrNothingAM,all_15_77169_17.jpg,A,7,0.51,0.0,0.27,0.26,0.0,0.0,0.0,0.65,0.25,0.0,0.75,0.0,0.0,0.06,0.0,0.24,0.05,3.04,0.0117818946338743,3,5,3,2,3,3.2,0.9797958971132712
AllOrNothingAM,all_19_111089_27.jpg,A,7,0.46,0.0,0.34,0.46,0.28,0.0,0.93,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.41,4.36,0.021356724023913,5,2,5,5,4,4.2,1.16619037896906
AllOrNothingAM,all_20_98146_157.jpg,A,4,0.0,0.0,0.0,0.0,0.36,0.0,1.19,0.0,0.0,0.13,0.68,1.56,0.0,0.0,0.0,0.0,0.49,4.41,0.0231689037514579,2,2,5,4,2,3.0,1.2649110640673518
AllOrNothingAM,all_11_149215_2.jpg,A,2,1.62,0.58,1.14,0.19,0.33,0.0,0.0,0.43,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,4.43,0.0211115360065058,3,3,5,4,4,3.8,0.7483314773547882
AllOrNothingAM,all_3_147425_80.jpg,A,10,0.42,0.0,0.44,0.76,0.49,0.91,0.0,0.41,0.07,0.17,0.0,0.02,0.0,0.0,0.0,0.93,0.0,4.62,0.0212618078765366,6,5,5,3,4,4.6,1.0198039027185568
AllOrNothingAM,all_1_165130_1.jpg,A,1,0.33,0.0,2.31,1.23,0.0,0.0,0.59,0.0,0.0,0.14,0.0,0.04,0.0,0.0,0.0,0.0,0.17,4.81,0.0266077033756785,6,3,4,2,3,3.6,1.3564659966250536
AllOrNothingAM,all_4_121898_309.jpg,A,3,0.21,0.0,0.0,0.3,0.0,0.0,0.45,0.38,0.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,1.47,4.89,0.0246782930472332,2,1,6,1,7,3.4,2.576819745345025
AllOrNothingAM,all_10_136793_34.jpg,A,5,0.3,0.0,1.58,0.18,0.33,0.02,0.55,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.59,0.91,0.08,5.08,0.0262086236496901,4,7,4,6,6,5.4,1.2
AllOrNothingAM,all_16_138039_100.jpg,A,4,0.0,0.0,0.0,1.3,0.03,0.04,0.0,1.15,1.01,0.0,0.61,0.47,0.0,0.0,0.0,0.6,0.0,5.21,0.0209599040212084,5,4,7,7,5,5.6,1.2
AllOrNothingAM,all_29_133137_74.jpg,A,5,0.15,0.81,0.0,1.06,0.0,0.0,0.44,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.32,2.31,0.0,5.22,0.0280945169241147,2,1,3,5,2,2.6,1.3564659966250536
AllOrNothingAM,all_0_157353_107.jpg,A,3,0.0,0.0,0.71,1.88,0.0,0.0,0.0,0.36,0.0,0.0,0.79,0.0,0.0,0.0,0.61,0.88,0.0,5.23,0.0259429757565585,3,2,2,2,7,3.2,1.939071942966532
