annotator_id,prolific_user,movie,image,movie_type,annot_group,annotator_gender,annotator_origin,movies_recognition,actors_recognition,intensity,sum,exp_sum,quartile
R_4DuqaECJ2rvPprf,0,SpiderAM,spider_63_62777_78.jpg,A,1,Female,Western (European),Many,Many,5,15.56,0.0808678652728694,q4
R_6yjcLBoK1hK18k5,1,SpiderAM,spider_63_62777_78.jpg,A,1,Female,Latin American,Several,A few,3,15.56,0.0808678652728694,q4
R_5f3VSlWSpPr6Zrf,1,SpiderAM,spider_63_62777_78.jpg,A,1,Male,Western (European),Several,Several,4,15.56,0.0808678652728694,q4
R_8mKqDOTAyv0fHBP,0,SpiderAM,spider_63_62777_78.jpg,A,1,Male,Western (European),A few,A few,2,15.56,0.0808678652728694,q4
R_2ogPvYjzUNUQCQX,0,SpiderAM,spider_63_62777_78.jpg,A,1,Female,Western (European),A few,A few,4,15.56,0.0808678652728694,q4
R_4DuqaECJ2rvPprf,0,QuantumOfSolaceHM,quantum_48_74329_25.jpg,H,1,Female,Western (European),Many,Many,6,14.510000000000002,0.0728751989959061,q4
R_6yjcLBoK1hK18k5,1,QuantumOfSolaceHM,quantum_48_74329_25.jpg,H,1,Female,Latin American,Several,A few,4,14.510000000000002,0.0728751989959061,q4
R_5f3VSlWSpPr6Zrf,1,QuantumOfSolaceHM,quantum_48_74329_25.jpg,H,1,Male,Western (European),Several,Several,2,14.510000000000002,0.0728751989959061,q4
R_8mKqDOTAyv0fHBP,0,QuantumOfSolaceHM,quantum_48_74329_25.jpg,H,1,Male,Western (European),A few,A few,1,14.510000000000002,0.0728751989959061,q4
R_2ogPvYjzUNUQCQX,0,QuantumOfSolaceHM,quantum_48_74329_25.jpg,H,1,Female,Western (European),A few,A few,4,14.510000000000002,0.0728751989959061,q4
R_4DuqaECJ2rvPprf,0,PiratesOfCaribbeanHM,pirates_20_176073_197.jpg,H,1,Female,Western (European),Many,Many,1,1.2000000000000002,0.0058627927359755,q1
R_6yjcLBoK1hK18k5,1,PiratesOfCaribbeanHM,pirates_20_176073_197.jpg,H,1,Female,Latin American,Several,A few,2,1.2000000000000002,0.0058627927359755,q1
R_5f3VSlWSpPr6Zrf,1,PiratesOfCaribbeanHM,pirates_20_176073_197.jpg,H,1,Male,Western (European),Several,Several,3,1.2000000000000002,0.0058627927359755,q1
R_8mKqDOTAyv0fHBP,0,PiratesOfCaribbeanHM,pirates_20_176073_197.jpg,H,1,Male,Western (European),A few,A few,2,1.2000000000000002,0.0058627927359755,q1
R_2ogPvYjzUNUQCQX,0,PiratesOfCaribbeanHM,pirates_20_176073_197.jpg,H,1,Female,Western (European),A few,A few,4,1.2000000000000002,0.0058627927359755,q1
R_4DuqaECJ2rvPprf,0,QuantumOfSolaceHM,quantum_76_90762_19.jpg,H,1,Female,Western (European),Many,Many,1,14.519999999999998,0.0802582126209113,q4
R_6yjcLBoK1hK18k5,1,QuantumOfSolaceHM,quantum_76_90762_19.jpg,H,1,Female,Latin American,Several,A few,2,14.519999999999998,0.0802582126209113,q4
R_5f3VSlWSpPr6Zrf,1,QuantumOfSolaceHM,quantum_76_90762_19.jpg,H,1,Male,Western (European),Several,Several,4,14.519999999999998,0.0802582126209113,q4
R_8mKqDOTAyv0fHBP,0,QuantumOfSolaceHM,quantum_76_90762_19.jpg,H,1,Male,Western (European),A few,A few,2,14.519999999999998,0.0802582126209113,q4
R_2ogPvYjzUNUQCQX,0,QuantumOfSolaceHM,quantum_76_90762_19.jpg,H,1,Female,Western (European),A few,A few,4,14.519999999999998,0.0802582126209113,q4
R_4DuqaECJ2rvPprf,0,BrightStarAM,brightstar_35_51897_119.jpg,A,1,Female,Western (European),Many,Many,1,10.080000000000002,0.0483442458702242,q4
R_6yjcLBoK1hK18k5,1,BrightStarAM,brightstar_35_51897_119.jpg,A,1,Female,Latin American,Several,A few,1,10.080000000000002,0.0483442458702242,q4
R_5f3VSlWSpPr6Zrf,1,BrightStarAM,brightstar_35_51897_119.jpg,A,1,Male,Western (European),Several,Several,3,10.080000000000002,0.0483442458702242,q4
R_8mKqDOTAyv0fHBP,0,BrightStarAM,brightstar_35_51897_119.jpg,A,1,Male,Western (European),A few,A few,2,10.080000000000002,0.0483442458702242,q4
R_2ogPvYjzUNUQCQX,0,BrightStarAM,brightstar_35_51897_119.jpg,A,1,Female,Western (European),A few,A few,6,10.080000000000002,0.0483442458702242,q4
R_4DuqaECJ2rvPprf,0,CertifiedCopyAM,copie_17_41122_41.jpg,A,1,Female,Western (European),Many,Many,3,5.0,0.0261617853788908,q2
R_6yjcLBoK1hK18k5,1,CertifiedCopyAM,copie_17_41122_41.jpg,A,1,Female,Latin American,Several,A few,3,5.0,0.0261617853788908,q2
R_5f3VSlWSpPr6Zrf,1,CertifiedCopyAM,copie_17_41122_41.jpg,A,1,Male,Western (European),Several,Several,3,5.0,0.0261617853788908,q2
R_8mKqDOTAyv0fHBP,0,CertifiedCopyAM,copie_17_41122_41.jpg,A,1,Male,Western (European),A few,A few,2,5.0,0.0261617853788908,q2
