,clip,annotator_id,prolific_user,annotator_gender,annotator_origin,movies_recognition,actors_recognition,experim_group,intensity,variability,gender,frame_start,movie,quartile,sum,exp_sum,face_id,type
0,114305_296_newyork,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,1,Female,114305,SynecdocheAM,q2,6.513252039170079,0.0365864823051436,105,A
1,114305_296_newyork,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,2,Female,114305,SynecdocheAM,q2,6.513252039170079,0.0365864823051436,105,A
2,114305_296_newyork,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,4,3,Female,114305,SynecdocheAM,q2,6.513252039170079,0.0365864823051436,105,A
3,114305_296_newyork,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,4,2,Female,114305,SynecdocheAM,q2,6.513252039170079,0.0365864823051436,105,A
4,114305_296_newyork,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,5,4,Female,114305,SynecdocheAM,q2,6.513252039170079,0.0365864823051436,105,A
5,45818_93_click,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,2,Male,45818,ClickHM,q3,8.500613803721873,0.0490397021863221,385,H
6,45818_93_click,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,3,3,Male,45818,ClickHM,q3,8.500613803721873,0.0490397021863221,385,H
7,45818_93_click,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,3,Male,45818,ClickHM,q3,8.500613803721873,0.0490397021863221,385,H
8,45818_93_click,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,5,2,Male,45818,ClickHM,q3,8.500613803721873,0.0490397021863221,385,H
9,45818_93_click,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,3,Male,45818,ClickHM,q3,8.500613803721873,0.0490397021863221,385,H
10,43497_125_copy,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,3,Female,43497,CertifiedCopyAM,q1,5.001842222182589,0.0280413893514024,49,A
11,43497_125_copy,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,4,Female,43497,CertifiedCopyAM,q1,5.001842222182589,0.0280413893514024,49,A
12,43497_125_copy,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,4,5,Female,43497,CertifiedCopyAM,q1,5.001842222182589,0.0280413893514024,49,A
13,43497_125_copy,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,6,Female,43497,CertifiedCopyAM,q1,5.001842222182589,0.0280413893514024,49,A
14,43497_125_copy,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,4,Female,43497,CertifiedCopyAM,q1,5.001842222182589,0.0280413893514024,49,A
15,23649_13_kvant,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Male,23649,QuantumOfSolaceHM,q2,8.248101467343742,0.0464134697979185,11,H
16,23649_13_kvant,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,2,1,Male,23649,QuantumOfSolaceHM,q2,8.248101467343742,0.0464134697979185,11,H
17,23649_13_kvant,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,2,2,Male,23649,QuantumOfSolaceHM,q2,8.248101467343742,0.0464134697979185,11,H
18,23649_13_kvant,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,5,1,Male,23649,QuantumOfSolaceHM,q2,8.248101467343742,0.0464134697979185,11,H
19,23649_13_kvant,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,3,Male,23649,QuantumOfSolaceHM,q2,8.248101467343742,0.0464134697979185,11,H
20,104993_227_click,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,4,3,Male,104993,ClickHM,q3,9.940101553636037,0.0567337579663444,395,H
21,104993_227_click,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,7,1,Male,104993,ClickHM,q3,9.940101553636037,0.0567337579663444,395,H
22,104993_227_click,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,5,2,Male,104993,ClickHM,q3,9.940101553636037,0.0567337579663444,395,H
23,104993_227_click,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,5,2,Male,104993,ClickHM,q3,9.940101553636037,0.0567337579663444,395,H
24,104993_227_click,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,6,3,Male,104993,ClickHM,q3,9.940101553636037,0.0567337579663444,395,H
25,98673_218_click,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,3,Male,98673,ClickHM,q3,9.672300608274735,0.0565709961241963,378,H
26,98673_218_click,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,6,Male,98673,ClickHM,q3,9.672300608274735,0.0565709961241963,378,H
27,98673_218_click,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,6,7,Male,98673,ClickHM,q3,9.672300608274735,0.0565709961241963,378,H
28,98673_218_click,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,1,6,Male,98673,ClickHM,q3,9.672300608274735,0.0565709961241963,378,H
29,98673_218_click,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,6,Male,98673,ClickHM,q3,9.672300608274735,0.0565709961241963,378,H
30,38348_64_bright,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Male,38348,BrightStarAM,q2,8.218549818020552,0.0475356572761677,25,A
31,38348_64_bright,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,3,1,Male,38348,BrightStarAM,q2,8.218549818020552,0.0475356572761677,25,A
32,38348_64_bright,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,3,Male,38348,BrightStarAM,q2,8.218549818020552,0.0475356572761677,25,A
33,38348_64_bright,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,4,1,Male,38348,BrightStarAM,q2,8.218549818020552,0.0475356572761677,25,A
34,38348_64_bright,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,5,4,Male,38348,BrightStarAM,q2,8.218549818020552,0.0475356572761677,25,A
35,24017_22_fast,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Male,24017,FastAndFuriousHM,q4,12.153213375250084,0.0712111997714792,200,H
36,24017_22_fast,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,1,Male,24017,FastAndFuriousHM,q4,12.153213375250084,0.0712111997714792,200,H
37,24017_22_fast,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,5,3,Male,24017,FastAndFuriousHM,q4,12.153213375250084,0.0712111997714792,200,H
38,24017_22_fast,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,5,1,Male,24017,FastAndFuriousHM,q4,12.153213375250084,0.0712111997714792,200,H
39,24017_22_fast,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,5,2,Male,24017,FastAndFuriousHM,q4,12.153213375250084,0.0712111997714792,200,H
40,90795_101_fast,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,2,Male,90795,FastAndFuriousHM,q2,7.838618872503561,0.0477429529954602,177,H
41,90795_101_fast,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,5,5,Male,90795,FastAndFuriousHM,q2,7.838618872503561,0.0477429529954602,177,H
42,90795_101_fast,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,5,4,Male,90795,FastAndFuriousHM,q2,7.838618872503561,0.0477429529954602,177,H
43,90795_101_fast,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,7,1,Male,90795,FastAndFuriousHM,q2,7.838618872503561,0.0477429529954602,177,H
44,90795_101_fast,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,5,3,Male,90795,FastAndFuriousHM,q2,7.838618872503561,0.0477429529954602,177,H
45,66990_95_clean,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,1,Female,66990,CleanAM,q2,6.897291354491394,0.0404776465556141,49,A
46,66990_95_clean,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,2,2,Female,66990,CleanAM,q2,6.897291354491394,0.0404776465556141,49,A
47,66990_95_clean,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,3,Female,66990,CleanAM,q2,6.897291354491394,0.0404776465556141,49,A
48,66990_95_clean,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,4,3,Female,66990,CleanAM,q2,6.897291354491394,0.0404776465556141,49,A
49,66990_95_clean,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,4,Female,66990,CleanAM,q2,6.897291354491394,0.0404776465556141,49,A
50,141345_240_bright,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,4,2,Female,141345,BrightStarAM,q4,10.166007063127314,0.0610508751050663,102,A
51,141345_240_bright,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,5,1,Female,141345,BrightStarAM,q4,10.166007063127314,0.0610508751050663,102,A
52,141345_240_bright,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,6,3,Female,141345,BrightStarAM,q4,10.166007063127314,0.0610508751050663,102,A
53,141345_240_bright,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,4,Female,141345,BrightStarAM,q4,10.166007063127314,0.0610508751050663,102,A
54,141345_240_bright,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,6,2,Female,141345,BrightStarAM,q4,10.166007063127314,0.0610508751050663,102,A
55,83857_160_dark_batman,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Male,83857,TheDarkKnightHM,q1,5.224053110469915,0.0284107012882021,46,H
56,83857_160_dark_batman,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,3,1,Male,83857,TheDarkKnightHM,q1,5.224053110469915,0.0284107012882021,46,H
57,83857_160_dark_batman,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,3,Male,83857,TheDarkKnightHM,q1,5.224053110469915,0.0284107012882021,46,H
58,83857_160_dark_batman,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,6,1,Male,83857,TheDarkKnightHM,q1,5.224053110469915,0.0284107012882021,46,H
59,83857_160_dark_batman,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,2,Male,83857,TheDarkKnightHM,q1,5.224053110469915,0.0284107012882021,46,H
60,122353_131_kvant,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,2,Male,122353,QuantumOfSolaceHM,q2,5.351938769259337,0.0308910399595934,73,H
61,122353_131_kvant,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,5,5,Male,122353,QuantumOfSolaceHM,q2,5.351938769259337,0.0308910399595934,73,H
62,122353_131_kvant,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,4,3,Male,122353,QuantumOfSolaceHM,q2,5.351938769259337,0.0308910399595934,73,H
63,122353_131_kvant,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,1,Male,122353,QuantumOfSolaceHM,q2,5.351938769259337,0.0308910399595934,73,H
64,122353_131_kvant,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,3,Male,122353,QuantumOfSolaceHM,q2,5.351938769259337,0.0308910399595934,73,H
65,70926_194_copy,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,2,Female,70926,CertifiedCopyAM,q2,6.871435283426093,0.039442566275922,83,A
66,70926_194_copy,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,3,2,Female,70926,CertifiedCopyAM,q2,6.871435283426093,0.039442566275922,83,A
67,70926_194_copy,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,3,Female,70926,CertifiedCopyAM,q2,6.871435283426093,0.039442566275922,83,A
68,70926_194_copy,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,5,1,Female,70926,CertifiedCopyAM,q2,6.871435283426093,0.039442566275922,83,A
69,70926_194_copy,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,5,Female,70926,CertifiedCopyAM,q2,6.871435283426093,0.039442566275922,83,A
70,74250_62_kvant,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,2,Male,74250,QuantumOfSolaceHM,q1,2.40804040636488,0.0129116070754982,33,H
